,RoomCount,Floor,Size(m2),Age,District,Price(TL)
3027,4,2.0,165.0,0.0,Etimesgut,6523500
3028,4,1.0,130.0,13.0,Etimesgut,2683500
3030,3,1.0,100.0,1.0,Etimesgut,4125000
3031,3,1.0,95.0,0.0,Etimesgut,3885000
3032,5,6.0,180.0,0.0,Etimesgut,10498500
3033,5,7.0,175.0,0.0,Etimesgut,8250000
3034,5,10.0,195.0,0.0,Etimesgut,9285000
3035,5,3.0,150.0,7.5,Etimesgut,4125000
3036,4,2.0,120.0,13.0,Etimesgut,3000000
3037,4,2.0,160.0,0.0,Etimesgut,6600000
3038,4,3.0,120.0,3.0,Etimesgut,3360000
3039,4,2.0,120.0,13.0,Etimesgut,3390000
3040,3,4.0,90.0,20.0,Etimesgut,3210000
3041,6,4.0,290.0,18.0,Etimesgut,4275000
3042,4,0.0,120.0,18.0,Etimesgut,2775000
3043,3,6.0,95.0,7.5,Etimesgut,2400000
3044,4,3.0,110.0,18.0,Etimesgut,4027500
3045,4,3.0,110.0,18.0,Etimesgut,3150000
3046,4,3.0,145.0,0.0,Etimesgut,10485000
3047,4,1.0,135.0,0.0,Etimesgut,5773500
3048,2,11.0,65.0,7.5,Etimesgut,4275000
3049,4,1.0,120.0,18.0,Etimesgut,3540000
3050,4,2.0,95.0,20.0,Etimesgut,3225000
3051,5,1.0,165.0,4.0,Etimesgut,6225000
3052,4,3.0,160.0,0.0,Etimesgut,6598500
3055,4,3.0,130.0,13.0,Etimesgut,2400000
3056,6,3.0,280.0,18.0,Etimesgut,4273500
3057,4,10.0,136.0,13.0,Etimesgut,5100000
3058,3,1.0,115.0,13.0,Etimesgut,3802500
3059,3,2.0,105.0,0.0,Etimesgut,3825000
3060,4,3.0,155.0,13.0,Etimesgut,3283500
3061,3,4.0,95.0,13.0,Etimesgut,2250000
3062,4,14.0,160.0,7.5,Etimesgut,5512500
3063,2,1.0,79.0,7.5,Etimesgut,3150000
3064,4,8.0,140.0,13.0,Etimesgut,5100000
3065,4,2.0,200.0,0.0,Etimesgut,9000000
3066,3,2.0,95.0,0.0,Etimesgut,4200000
3067,4,3.0,115.0,18.0,Etimesgut,2602500
3068,4,3.0,120.0,20.0,Etimesgut,3855000
3069,3,4.0,95.0,4.0,Etimesgut,3930000
3070,4,4.0,165.0,0.0,Etimesgut,5848500
3071,4,2.0,130.0,13.0,Etimesgut,3748500
3072,4,9.0,140.0,0.0,Etimesgut,7882500
3073,3,0.0,88.0,0.0,Etimesgut,3480000
3074,4,14.0,165.0,7.5,Etimesgut,6750000
3075,5,3.0,180.0,13.0,Etimesgut,3900000
3076,4,1.0,110.0,0.0,Etimesgut,5025000
3077,2,0.0,74.0,0.0,Etimesgut,2970000
3078,1,2.0,110.0,7.5,Etimesgut,2767500
3079,4,5.0,170.0,4.0,Etimesgut,6075000
3080,3,3.0,85.0,0.0,Etimesgut,4185000
3081,5,3.0,188.0,2.0,Etimesgut,6337500
3082,3,1.0,100.0,7.5,Etimesgut,3223500
3083,5,0.0,175.0,7.5,Etimesgut,6750000
3084,2,1.0,65.0,7.5,Etimesgut,3525000
3085,2,6.0,55.0,7.5,Etimesgut,2835000
3086,3,1.0,115.0,13.0,Etimesgut,1927500
3087,4,1.0,105.0,18.0,Etimesgut,2925000
3088,4,1.0,130.0,13.0,Etimesgut,3135000
3089,3,1.0,90.0,0.0,Etimesgut,7725000
3090,4,3.0,105.0,20.0,Etimesgut,2565000
3091,4,1.0,135.0,13.0,Etimesgut,3435000
3092,4,1.0,120.0,13.0,Etimesgut,3148500
3093,4,1.0,110.0,20.0,Etimesgut,2083500
3094,3,5.0,120.0,13.0,Etimesgut,2235000
3096,4,1.0,135.0,0.0,Etimesgut,5323500
3097,3,-1.0,100.0,0.0,Etimesgut,3778500
3098,4,1.0,110.0,18.0,Etimesgut,3075000
3099,2,4.0,58.0,20.0,Etimesgut,2250000
3100,6,3.0,220.0,18.0,Etimesgut,3373500
3101,4,2.0,140.0,2.0,Etimesgut,4135500
3102,4,3.0,165.0,7.5,Etimesgut,4273500
