RoomCount,Floor,Size(m2),Age,District,Price(TL)
4,8.0,145.0,4.0,Altındağ,3840000
3,1.0,95.0,7.5,Altındağ,2512500
4,0.0,120.0,0.0,Altındağ,2362500
4,3.0,150.0,4.0,Altındağ,3870000
4,-1.0,110.0,13.0,Altındağ,1650000
5,9.0,185.0,1.0,Altındağ,6675000
7,3.0,350.0,13.0,Altındağ,3600000
4,4.0,140.0,13.0,Altındağ,2377500
4,-1.0,100.0,13.0,Altındağ,1575000
3,-1.0,135.0,7.5,Altındağ,1875000
4,1.0,130.0,2.0,Altındağ,3075000
4,2.0,130.0,7.5,Altındağ,3210000
4,2.0,125.0,7.5,Altındağ,2250000
4,1.0,140.0,1.0,Altındağ,3075000
4,4.0,120.0,7.5,Altındağ,2625000
4,9.0,165.0,0.0,Altındağ,4725000
4,2.0,160.0,4.0,Altındağ,4350000
4,1.0,115.0,13.0,Altındağ,2692500
2,0.0,100.0,7.5,Altındağ,975000
4,1.0,140.0,4.0,Altındağ,3000000
4,0.0,120.0,13.0,Altındağ,1875000
4,7.0,135.0,7.5,Altındağ,3067500
4,1.0,120.0,4.0,Altındağ,3150000
5,4.0,180.0,7.5,Altındağ,3750000
4,2.0,145.0,2.0,Altındağ,3750000
4,2.0,145.0,2.0,Altındağ,4500000
4,2.0,160.0,2.0,Altındağ,3150000
4,3.0,140.0,13.0,Altındağ,2550000
6,7.0,230.0,4.0,Altındağ,5625000
4,1.0,125.0,2.0,Altındağ,3450000
4,2.0,125.0,20.0,Altındağ,3420000
4,1.0,150.0,7.5,Altındağ,3525000
5,1.0,144.0,7.5,Altındağ,2100000
3,2.0,100.0,7.5,Altındağ,1192500
3,-1.0,100.0,13.0,Altındağ,1372500
4,1.0,145.0,3.0,Altındağ,4305000
4,3.0,125.0,13.0,Altındağ,2842500
4,1.0,130.0,20.0,Altındağ,3672000
4,1.0,170.0,3.0,Altındağ,3598500
4,2.0,144.0,4.0,Altındağ,2670000
2,1.0,125.0,7.5,Altındağ,1695000
4,1.0,130.0,13.0,Altındağ,2175000
4,1.0,145.0,3.0,Altındağ,2790000
3,1.0,95.0,13.0,Altındağ,1717500
